Reef,Sampletype,Replicate,SampleID,Name,Site,Code,Number,Region,Region_number,Depth,Lat,Long,Date.collection,Type.of.sample,Preservation
AL1,WAT,T1R1,AL1_T1R1,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T1R2,AL1_T1R2,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T2R1,AL1_T2R1,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T2R2,AL1_T2R2,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T3R1,AL1_T3R1,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL1,WAT,T3R2,AL1_T3R2,AL1,AL1,AL1,17,Al Lith,3,10,20.171737,40.168932,27-Sep-23,Water,-80
AL3,WAT,T1R1,AL3_T1R1,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T1R2,AL3_T1R2,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T2R1,AL3_T2R1,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T2R2,AL3_T2R2,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL3,WAT,T3R1,AL3_T3R1,Al_Brakeet,AL3,AL3,19,Al Lith,3,10,19.9072426,40.5219478,27-Sep-23,Water,-80
AL4,WAT,T1R1,AL4_T1R1,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T1R2,AL4_T1R2,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T2R1,AL4_T2R1,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T2R2,AL4_T2R2,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T3R1,AL4_T3R1,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL4,WAT,T3R2,AL4_T3R2,AL4,AL4,AL4,20,Al Lith,3,10,20.089398,40.308259,28-Sep-23,Water,-80
AL6,WAT,T1R1,AL6_T1R1,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T1R2,AL6_T1R2,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T2R1,AL6_T2R1,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T2R2,AL6_T2R2,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T3R1,AL6_T3R1,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL6,WAT,T3R2,AL6_T3R2,Qita_al_Qirish,AL6,AL6,22,Al Lith,3,10,20.134698,40.094922,29-Sep-23,Water,-80
AL7,WAT,T1R1,AL7_T1R1,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
AL7,WAT,T1R2,AL7_T1R2,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
AL7,WAT,T2R1,AL7_T2R1,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
AL7,WAT,T2R2,AL7_T2R2,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
AL7,WAT,T3R1,AL7_T3R1,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
AL7,WAT,T3R2,AL7_T3R2,Shib_Habil_Protected,AL7,AL7,23,Al Lith,3,10,20.121593,40.218074,28-Sep-23,Water,-80
JD01,WAT,T1R2,JD01_T1R2,JD01,JD01,JD01,12,Jeddah,2,10,21.452855,39.111838,03-Oct-23,Water,-80
JD01,WAT,T2R1,JD01_T2R1,JD01,JD01,JD01,12,Jeddah,2,10,21.452855,39.111838,03-Oct-23,Water,-80
JD01,WAT,T2R2,JD01_T2R2,JD01,JD01,JD01,12,Jeddah,2,10,21.452855,39.111838,03-Oct-23,Water,-80
JD01,WAT,T3R1,JD01_T3R1,JD01,JD01,JD01,12,Jeddah,2,10,21.452855,39.111838,03-Oct-23,Water,-80
JD01,WAT,T3R2,JD01_T3R2,JD01,JD01,JD01,12,Jeddah,2,10,21.452855,39.111838,03-Oct-23,Water,-80
JD02,WAT,T1R1,JD02_T1R1,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T1R2,JD02_T1R2,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T2R1,JD02_T2R1,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T2R2,JD02_T2R2,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T3R1,JD02_T3R1,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD02,WAT,T3R2,JD02_T3R2,JD02,JD02,JD02,13,Jeddah,2,10,21.22495,39.120773,04-Oct-23,Water,-80
JD03,WAT,T1R1,JD03_T1R1,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T1R2,JD03_T1R2,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T2R1,JD03_T2R1,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T2R2,JD03_T2R2,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T3R1,JD03_T3R1,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JD03,WAT,T3R2,JD03_T3R2,JD03,JD03,JD03,14,Jeddah,2,10,21.22495,39.120773,05-Oct-23,Water,-80
JPR2,WAT,T1R1,JPR2_T1R1,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T1R2,JPR2_T1R2,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T2R1,JPR2_T2R1,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T2R2,JPR2_T2R2,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T3R1,JPR2_T3R1,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JPR2,WAT,T3R2,JPR2_T3R2,Jeddah Port 2,JPR2,JPR2,15,Jeddah,2,4,21.477777,39.120869,03-Oct-23,Water,-80
JD04,WAT,T1R1,JD04_T1R1,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
JD04,WAT,T1R2,JD04_T1R2,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
JD04,WAT,T2R1,JD04_T2R1,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
JD04,WAT,T2R2,JD04_T2R2,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
JD04,WAT,T3R1,JD04_T3R1,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
JD04,WAT,T3R2,JD04_T3R2,JD04,JD04,JD04,16,Jeddah,2,4,21.324269,39.03527,06-Oct-23,Water,-80
AFHL,WAT,T1R1,AFHL_T1R1,Al_Fahal,Al_Fahal,AFHL,6,Thuwal,1,10,22.301349,38.95999,16-Oct-23,Water,-80
AFHL,WAT,T1R2,AFHL_T1R2,Al_Fahal,Al_Fahal,AFHL,6,Thuwal,1,10,22.301349,38.95999,16-Oct-23,Water,-80
AFHL,WAT,T2R1,AFHL_T2R1,Al_Fahal,Al_Fahal,AFHL,6,Thuwal,1,10,22.301349,38.95999,16-Oct-23,Water,-80
AFHL,WAT,T2R2,AFHL_T2R2,Al_Fahal,Al_Fahal,AFHL,6,Thuwal,1,10,22.301349,38.95999,16-Oct-23,Water,-80
AFHL,WAT,T3R1,AFHL_T3R1,Al_Fahal,Al_Fahal,AFHL,6,Thuwal,1,10,22.301349,38.95999,16-Oct-23,Water,-80
AFHL,WAT,T3R2,AFHL_T3R2,Al_Fahal,Al_Fahal,AFHL,6,Thuwal,1,10,22.301349,38.95999,16-Oct-23,Water,-80
ASHA,WAT,T1R1,ASHA_T1R1,Abu_Shoosha,Abu_Shoosha,ASHA,4,Thuwal,1,10,22.306471,39.0492,11-Oct-23,Water,-80
ASHA,WAT,T1R2,ASHA_T1R2,Abu_Shoosha,Abu_Shoosha,ASHA,4,Thuwal,1,10,22.306471,39.0492,11-Oct-23,Water,-80
ASHA,WAT,T2R1,ASHA_T2R1,Abu_Shoosha,Abu_Shoosha,ASHA,4,Thuwal,1,10,22.306471,39.0492,11-Oct-23,Water,-80
ASHA,WAT,T2R2,ASHA_T2R2,Abu_Shoosha,Abu_Shoosha,ASHA,4,Thuwal,1,10,22.306471,39.0492,11-Oct-23,Water,-80
ASHA,WAT,T3R1,ASHA_T3R1,Abu_Shoosha,Abu_Shoosha,ASHA,4,Thuwal,1,10,22.306471,39.0492,11-Oct-23,Water,-80
ASHA,WAT,T3R2,ASHA_T3R2,Abu_Shoosha,Abu_Shoosha,ASHA,4,Thuwal,1,10,22.306471,39.0492,11-Oct-23,Water,-80
LIKM,WAT,T1R1,LIKM_T1R1,Likme,Likme,LIKM,1,Thuwal,1,10,22.284246,39.068333,09-Oct-23,Water,-80
LIKM,WAT,T1R2,LIKM_T1R2,Likme,Likme,LIKM,1,Thuwal,1,10,22.284246,39.068333,09-Oct-23,Water,-80
LIKM,WAT,T2R1,LIKM_T2R1,Likme,Likme,LIKM,1,Thuwal,1,10,22.284246,39.068333,09-Oct-23,Water,-80
LIKM,WAT,T2R2,LIKM_T2R2,Likme,Likme,LIKM,1,Thuwal,1,10,22.284246,39.068333,09-Oct-23,Water,-80
LIKM,WAT,T3R1,LIKM_T3R1,Likme,Likme,LIKM,1,Thuwal,1,10,22.284246,39.068333,09-Oct-23,Water,-80
LIKM,WAT,T3R2,LIKM_T3R2,Likme,Likme,LIKM,1,Thuwal,1,10,22.284246,39.068333,09-Oct-23,Water,-80
ROSE,WAT,T1R1,ROSE_T1R1,Rose_Reef,Rose_Reef,ROSE,8,Thuwal,1,10,22.310093,38.886193,11-Oct-23,Water,-80
ROSE,WAT,T1R2,ROSE_T1R2,Rose_Reef,Rose_Reef,ROSE,8,Thuwal,1,10,22.310093,38.886193,11-Oct-23,Water,-80
ROSE,WAT,T2R1,ROSE_T2R1,Rose_Reef,Rose_Reef,ROSE,8,Thuwal,1,10,22.310093,38.886193,11-Oct-23,Water,-80
ROSE,WAT,T2R2,ROSE_T2R2,Rose_Reef,Rose_Reef,ROSE,8,Thuwal,1,10,22.310093,38.886193,11-Oct-23,Water,-80
ROSE,WAT,T3R1,ROSE_T3R1,Rose_Reef,Rose_Reef,ROSE,8,Thuwal,1,10,22.310093,38.886193,11-Oct-23,Water,-80
ROSE,WAT,T3R2,ROSE_T3R2,Rose_Reef,Rose_Reef,ROSE,8,Thuwal,1,10,22.310093,38.886193,11-Oct-23,Water,-80
SNAZ,WAT,T1R1,SNAZ_T1R1,Shib_Nazar,Shib_Nazar,SNAZ,7,Thuwal,1,10,22.322836,38.854156,10-Oct-23,Water,-80
SNAZ,WAT,T1R2,SNAZ_T1R2,Shib_Nazar,Shib_Nazar,SNAZ,7,Thuwal,1,10,22.322836,38.854156,10-Oct-23,Water,-80
SNAZ,WAT,T2R1,SNAZ_T2R1,Shib_Nazar,Shib_Nazar,SNAZ,7,Thuwal,1,10,22.322836,38.854156,10-Oct-23,Water,-80
SNAZ,WAT,T2R2,SNAZ_T2R2,Shib_Nazar,Shib_Nazar,SNAZ,7,Thuwal,1,10,22.322836,38.854156,10-Oct-23,Water,-80
SNAZ,WAT,T3R1,SNAZ_T3R1,Shib_Nazar,Shib_Nazar,SNAZ,7,Thuwal,1,10,22.322836,38.854156,10-Oct-23,Water,-80
SNAZ,WAT,T3R2,SNAZ_T3R2,Shib_Nazar,Shib_Nazar,SNAZ,7,Thuwal,1,10,22.322836,38.854156,10-Oct-23,Water,-80
THLN,WAT,T1R1,THLN_T1R1,Tahla_North,Tahla_North,THLN,2,Thuwal,1,10,22.288451,39.052465,15-Oct-23,Water,-80
THLN,WAT,T1R2,THLN_T1R2,Tahla_North,Tahla_North,THLN,2,Thuwal,1,10,22.288451,39.052465,15-Oct-23,Water,-80
THLN,WAT,T2R1,THLN_T2R1,Tahla_North,Tahla_North,THLN,2,Thuwal,1,10,22.288451,39.052465,15-Oct-23,Water,-80
THLN,WAT,T2R2,THLN_T2R2,Tahla_North,Tahla_North,THLN,2,Thuwal,1,10,22.288451,39.052465,15-Oct-23,Water,-80
THLN,WAT,T3R1,THLN_T3R1,Tahla_North,Tahla_North,THLN,2,Thuwal,1,10,22.288451,39.052465,15-Oct-23,Water,-80
THLN,WAT,T3R2,THLN_T3R2,Tahla_North,Tahla_North,THLN,2,Thuwal,1,10,22.288451,39.052465,15-Oct-23,Water,-80